cohort,fraction,subset_seed,memory_groups,model_id,memory_rows,method,training_labels_used,answers,conversation_groups,high_gap_count,gap_mse,gap_rmse,gap_mae,gap_r2,gap_pearson,gap_spearman,high_gap_auroc,high_gap_ap,corrected_judge_mse,corrected_judge_pearson,judge_preference_pairs,judge_preference_agreement
test,0.125,42,236,fraction_0.125_sample_42,973,proxy,0,1024,512,31,0.27050089326089055,0.5200970037030501,0.42496019309025423,-0.02586569194305377,,,0.5,0.0302734375,0.27050089326089055,0.7553666831645542,455,0.7615384615384615
test,0.125,42,236,fraction_0.125_sample_42,973,mean_gap,973,1024,512,31,0.2699180446198404,0.519536374684045,0.4243302982943242,-0.023655257747288383,,,0.5,0.0302734375,0.2699180446198404,0.7553666831645541,455,0.7615384615384615
test,0.125,42,236,fraction_0.125_sample_42,973,knn_fixed,973,1024,512,31,0.18205699951192675,0.42668137938270373,0.3416262958528278,0.3095548501673585,0.5640394081863656,0.5630729951401523,0.8714875093395706,0.15665054892038682,0.18205699951192675,0.8068698641670209,455,0.7692307692307693
test,0.125,42,236,fraction_0.125_sample_42,973,knn_tuned,973,1024,512,31,0.1785078136481208,0.42250185046709654,0.34098626241576047,0.3230150201805354,0.5990811533253236,0.5943461504391208,0.9070915765195076,0.22461736806104762,0.1785078136481208,0.8107307423867302,455,0.7802197802197802
test,0.125,42,236,fraction_0.125_sample_42,973,ridge,973,1024,512,31,0.15258653271813444,0.3906232618753451,0.31330331756643787,0.4213206208635014,0.6569390813413688,0.6552727679427893,0.9162524770165352,0.30794091119848865,0.15258653271813444,0.82905708775568,455,0.7956043956043956
test,0.25,42,472,fraction_0.25_sample_42,1985,proxy,0,1024,512,31,0.27050089326089055,0.5200970037030501,0.42496019309025423,-0.02586569194305377,,,0.5,0.0302734375,0.27050089326089055,0.7553666831645542,455,0.7615384615384615
test,0.25,42,472,fraction_0.25_sample_42,1985,mean_gap,1985,1024,512,31,0.27120530710030244,0.5207737580757141,0.4257004107839961,-0.028537158133317364,,,0.5,0.0302734375,0.27120530710030244,0.7553666831645541,455,0.7615384615384615
test,0.25,42,472,fraction_0.25_sample_42,1985,knn_fixed,1985,1024,512,31,0.17932319323378665,0.42346569310132626,0.3377064995793583,0.31992272006735756,0.5713522067562326,0.5732064943012695,0.8670694864048338,0.15189463857254318,0.17932319323378665,0.8089478209694311,455,0.7956043956043956
test,0.25,42,472,fraction_0.25_sample_42,1985,knn_tuned,1985,1024,512,31,0.1783017174275091,0.42225788024323374,0.33654037867167375,0.3237966332813865,0.5741736938977055,0.5763302547821019,0.8723971022967223,0.15074538844728816,0.1783017174275091,0.8095869439954936,455,0.8
test,0.25,42,472,fraction_0.25_sample_42,1985,ridge,1985,1024,512,31,0.1428079876472882,0.37789944118414387,0.30069636295317925,0.45840542965792175,0.6845730122856328,0.6842275026323749,0.9312607608095377,0.3525900604891981,0.1428079876472882,0.8418333067457918,455,0.7956043956043956
test,0.5,42,943,fraction_0.5_sample_42,3985,proxy,0,1024,512,31,0.27050089326089055,0.5200970037030501,0.42496019309025423,-0.02586569194305377,,,0.5,0.0302734375,0.27050089326089055,0.7553666831645542,455,0.7615384615384615
test,0.5,42,943,fraction_0.5_sample_42,3985,mean_gap,3985,1024,512,31,0.27269749738753735,0.5222044593715544,0.42723996419420585,-0.03419624044935432,,,0.5,0.0302734375,0.27269749738753735,0.7553666831645541,455,0.7615384615384615
test,0.5,42,943,fraction_0.5_sample_42,3985,knn_fixed,3985,1024,512,31,0.16355902014337786,0.4044243070629878,0.3223948362138346,0.3797078251749585,0.6199885885495081,0.6190110551436753,0.9066042945781763,0.20661857821807478,0.16355902014337786,0.8240744672876984,455,0.7912087912087912
test,0.5,42,943,fraction_0.5_sample_42,3985,knn_tuned,3985,1024,512,31,0.162551764869812,0.40317708872133595,0.32146370120008866,0.3835278074889664,0.6229224796037246,0.6217538632275897,0.9070266055939967,0.20791600959020123,0.162551764869812,0.824880125183018,455,0.7934065934065934
test,0.5,42,943,fraction_0.5_sample_42,3985,ridge,3985,1024,512,31,0.13337134330146888,0.36520041525369173,0.2875372161064097,0.49419359125969375,0.7062546419645676,0.7042382490841327,0.9377903388233765,0.37448591695312927,0.13337134330146888,0.8511032048773476,455,0.8131868131868132
test,1.0,42,1885,fraction_1_sample_42,7990,proxy,0,1024,512,31,0.27050089326089055,0.5200970037030501,0.42496019309025423,-0.02586569194305377,,,0.5,0.0302734375,0.27050089326089055,0.7553666831645542,455,0.7615384615384615
test,1.0,42,1885,fraction_1_sample_42,7990,mean_gap,7990,1024,512,31,0.2726111069959487,0.5221217358010952,0.42715268569327275,-0.033868607746275536,,,0.5,0.0302734375,0.2726111069959487,0.7553666831645542,455,0.7615384615384615
test,1.0,42,1885,fraction_1_sample_42,7990,knn_fixed,7990,1024,512,31,0.15682549523683212,0.3960119887539165,0.3138692022665086,0.4052444956982867,0.6382926325228506,0.6390671533373491,0.9114121430659781,0.27293793645793846,0.15682549523683212,0.8299209044990307,455,0.7934065934065934
test,1.0,42,1885,fraction_1_sample_42,7990,knn_tuned,7990,1024,512,31,0.1559360800696346,0.3948874270847764,0.3138386950807006,0.4086175733059888,0.6459808141821934,0.6478115626182679,0.9161875060910243,0.27869102662050144,0.1559360800696346,0.8317955525867888,455,0.778021978021978
test,1.0,42,1885,fraction_1_sample_42,7990,ridge,7990,1024,512,31,0.12819817140610845,0.3580477222467816,0.2792434510984826,0.513812674590616,0.7186633819494818,0.71535220864897,0.9439625767469058,0.3917091641893263,0.12819817140610845,0.85722049572509,455,0.810989010989011
test,0.125,43,236,fraction_0.125_sample_43,1016,proxy,0,1024,512,31,0.27050089326089055,0.5200970037030501,0.42496019309025423,-0.02586569194305377,,,0.5,0.0302734375,0.27050089326089055,0.7553666831645542,455,0.7615384615384615
test,0.125,43,236,fraction_0.125_sample_43,1016,mean_gap,1016,1024,512,31,0.27008317299560974,0.5196952693604299,0.4245107990605811,-0.02428150165142462,,,0.5,0.0302734375,0.27008317299560974,0.7553666831645541,455,0.7615384615384615
test,0.125,43,236,fraction_0.125_sample_43,1016,knn_fixed,1016,1024,512,31,0.16162456771561395,0.40202558092192836,0.3215868556678372,0.387044172032878,0.6256115717583626,0.6310626882359573,0.9098203553909626,0.19662976849149866,0.16162456771561395,0.8257461238341234,455,0.7802197802197802
test,0.125,43,236,fraction_0.125_sample_43,1016,knn_tuned,1016,1024,512,31,0.15965840460512054,0.39957277760768506,0.3195585266159816,0.3945007806063435,0.6315392793183576,0.6359935558169875,0.9128739888899717,0.2120467275217718,0.15965840460512054,0.8271662179981494,455,0.7824175824175824
test,0.125,43,236,fraction_0.125_sample_43,1016,ridge,1016,1024,512,31,0.14720665847157174,0.38367519918750514,0.30645774658799524,0.44172361602549415,0.6664880848695196,0.6641148712236981,0.9416236234285158,0.3488106249132656,0.14720665847157174,0.834404215654663,455,0.7934065934065934
test,0.25,43,472,fraction_0.25_sample_43,2026,proxy,0,1024,512,31,0.27050089326089055,0.5200970037030501,0.42496019309025423,-0.02586569194305377,,,0.5,0.0302734375,0.27050089326089055,0.7553666831645542,455,0.7615384615384615
test,0.25,43,472,fraction_0.25_sample_43,2026,mean_gap,2026,1024,512,31,0.27475335374967247,0.5241692033586792,0.4292633702240698,-0.04199300771342096,,,0.5,0.0302734375,0.27475335374967247,0.7553666831645542,455,0.7615384615384615
